attack_id,n_attack,method,precision,recall,f1,accuracy,auc_roc
9,1088,tas_vanet_oneclass,0.12046204620462046,0.13419117647058823,0.12695652173913044,0.868594987239055,0.711706701677712
9,1088,tas_vanet_supervised,0.3684895833333333,0.7803308823529411,0.5005896226415094,0.8891433806688044,0.9072629527397515
9,1088,rf,0.6793400286944046,0.8704044117647058,0.7630942788074134,0.9615208428767751,0.9368763754709238
9,1088,mlp,0.45076142131979696,0.40808823529411764,0.4283646888567294,0.9224527190628885,0.8441839792088892
10,1081,tas_vanet_oneclass,0.44738206324520474,0.7983348751156337,0.573421926910299,0.9159355767971716,0.9356757083350686
10,1081,tas_vanet_supervised,0.5797425853385563,0.9583718778908418,0.7224546722454672,0.947885295273013,0.9799845958643473
10,1081,rf,0.7062415196743554,0.9629972247918593,0.8148727984344423,0.9690323425428833,0.985397649803655
10,1081,mlp,0.5466526093832367,0.9592969472710453,0.6964405641370047,0.9408144559381957,0.9848696113633169
11,1089,tas_vanet_oneclass,0.34075448361162647,0.5059687786960514,0.4072431633407243,0.8950399162413296,0.8163190677746508
11,1089,tas_vanet_supervised,0.5126811594202898,0.7796143250688705,0.6185792349726776,0.9314880251276011,0.9010451937759255
11,1089,rf,0.6658767772511849,0.7741046831955923,0.7159235668789808,0.9562230074597565,0.9140891373073691
11,1089,mlp,0.5261194029850746,0.7768595041322314,0.6273637374860956,0.9342363564978406,0.9076502876487504
12,1063,tas_vanet_oneclass,0.0989010989010989,0.11006585136406397,0.10418521816562779,0.868117461982171,0.6253881860726729
12,1063,tas_vanet_supervised,0.443163097199341,0.5061147695202258,0.4725516029863856,0.92127687467226,0.7189810222057049
12,1063,rf,0.5584016393442623,0.5126999059266227,0.5345757724374693,0.9377949659150498,0.7294579781388928
12,1063,mlp,0.45454545454545453,0.49858889934148637,0.47554957379991025,0.9233744100681699,0.7255175411089655
13,7685,tas_vanet_oneclass,0.681505826112937,0.2968119713728042,0.4135242929659173,0.7042691288051924,0.7026345425533246
13,7685,tas_vanet_supervised,0.8604312354312355,0.38425504229017565,0.5312584330304938,0.7618155224426364,0.8544761978892983
13,7685,rf,0.9587704318126372,0.5113858165256994,0.6670061099796334,0.8206417405612945,0.8619513747670658
13,7685,mlp,0.9098554533508542,0.4504879635653871,0.6026109660574412,0.7912971935277447,0.8645802468168052
14,7496,tas_vanet_oneclass,0.8731858196526291,0.9791889007470651,0.9231543202112942,0.9436580755221541,0.9953352419959004
14,7496,tas_vanet_supervised,0.9323383084577115,1.0,0.964984552008239,0.9749181612799115,0.9999931948957056
14,7496,rf,0.9449136518341107,1.0,0.9716767126839069,0.9798515376458112,0.9999963765639427
14,7496,mlp,0.9269197477432917,1.0,0.9620740550600013,0.9727511641846097,0.9999975843759618
15,7495,tas_vanet_oneclass,0.8654550044175187,0.9148765843895931,0.8894798287715657,0.9214312061969753,0.971880433969766
15,7495,tas_vanet_supervised,0.9217856254663019,0.9890593729152769,0.9542382699362811,0.9672168941350056,0.9978457937175712
15,7495,rf,0.948825931597754,0.9919946631087392,0.9699302067705955,0.9787440059018813,0.9984740384709843
15,7495,mlp,0.9348291945039707,0.9894596397598399,0.9613689395903552,0.9725193655477683,0.9982342534469655
16,5015,tas_vanet_oneclass,0.7270865335381465,0.5663010967098704,0.6366999215334603,0.831268221574344,0.8222686973252018
16,5015,tas_vanet_supervised,0.8867432150313153,0.677567298105683,0.7681700011303266,0.8932215743440233,0.8342400122959522
16,5015,rf,0.9034163883894168,0.7012961116650049,0.7896273013022003,0.9024364847980009,0.8741130023583868
16,5015,mlp,0.8346814964610718,0.6584247258225324,0.7361498160740163,0.8767700957934194,0.835430641774388
17,243,tas_vanet_oneclass,0.0989010989010989,0.48148148148148145,0.1640953716690042,0.9174286505957329,0.806972601981096
17,243,tas_vanet_supervised,0.11566617862371889,0.32510288065843623,0.17062634989200864,0.9467996674979219,0.7560406958858465
17,243,rf,0.16535433070866143,0.345679012345679,0.2237017310252996,0.9596148517594901,0.7197582474870966
17,243,mlp,0.13005050505050506,0.42386831275720166,0.19903381642512077,0.9425741202549183,0.7968148675852788
